,title,year,genres,description,rating
148,Ala Modalaindi,2011,"Comedy, Drama, Romance            ","    On the day of his girlfriend's marriage, Gautam gets kidnapped by an unknown criminal. Bored on the way to the kidnapper's den, Gautam is forced to narrate his cute love story which is filled with loads of twists and turns.",7.7
149,Prasthanam,2010,"Action, Drama            ",    A politician's hot-blooded son starts to rebel uncontrollably when his intelligent stepbrother is chosen as the heir to the throne.,8.3
150,Dhee,2007,Comedy            ,    A guy who is irresponsible was joined to a job of accountent in local rowdy by his farher.he loves the sister of the rowdy after knowing she is having a threat from another local rowdy hero makes a plan to marry her and kil that rowdy ..,7.4
151,Iddarammayilatho,2013,"Action, Thriller            ","    A young woman becomes embroiled in a financial and political conspiracy while studying in Spain, as she meets a young musician with a somewhat dark past unfolded through the pages of his lover's diary.",5.7
152,Simhadri,2003,"Action, Drama            ","    Simhadri, A loyal servant in a landlords house also leads a secret life as Singamalai. A powerful leader in the state of Kerala",7.4
153,Taxiwaala,2018,"Comedy, Horror, Thriller            ","    A job monger, Shiva ends up as a taxiwala only to realise that his ride is a beyond what anyone could have expected.",7
154,Parugu,2008,"Action, Romance            ",    A group of friends are tasked with finding the daughter of a village head who believes them to have helped her elope.,7
155,Rakhta Charitra 2,2010,"Action, Biography, Crime            ","    After avenging the death of his father and brother, a man must now content with another vengeful male.",6.4
156,Maryada Ramanna,2010,"Action, Comedy, Drama            ","    A man returns to his parents' village to claim his land. Along the way, he befriends a charming young woman. Unbeknownst to him, her family has a long-standing feud with his family.",7.4
157,Rachcha,2012,Action            ,    A betting teenager involves in a larger bet than he imagined.,4.3
158,HIT,2020,"Crime, Drama, Mystery            ","    Vikram is a 30-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",7.8
159,Nota,2018,Drama            ,    A bachelor who is unaware of the political world is appointed a Chief Minister when his corrupt father retires.,6.4
160,U Turn,2018,"Mystery, Thriller            ",    The plot revolves around the death of motorists who break a traffic rule at a particular flyover in Hyderabad and the subsequent pinning down of the culprit by an intern journalist and police inspector duo.,7
161,Thammudu,1999,"Action, Drama, Sport            ","    An aimless student is banished from his home by his father. When his brother, a boxing champion, gets injured, the student must step up and take his brother's place.",7.8
162,Zanjeer,2013,"Action, Drama            ",    ACP Vijay Khanna is transferred to Mumbai where he will have do deal with the oil mafia led by Rudra Pratap Teja.,3.2
163,Ezra,2017,"Horror, Mystery, Thriller            ","    A newly married woman brings an antique Jewish box into her home, unaware that the box contains the ghost of Abraham Ezra.",6.7
164,Bhaagamathie,2018,"Action, Horror, Thriller            ","    IAS officer Chanchala Reddy is imprisoned in a haunted house, while she is interrogated by law enforcers investigating a politician they suspect of corruption.",7
165,Adhurs,2010,"Action, Comedy, Thriller            ",    Male twins are separated at birth and live their lives in different backgrounds - until one gets abducted.,6.7
166,Aditya 369,1991,"Family, Sci-Fi, Adventure            ","    A group of children use a time machine to investigate a robbery. The protagonist couple, in their attempt to rescue the kids, get stuck in the machine and travel all the way back to the ...                See full summary »",8.4
167,Sardaar Gabbar Singh,2016,"Action, Comedy            ",    A kingdom called Rathanpur was taken ruthlessly by a feudal lord named Bhairav Singh. The princess of that empire was in a hopeless situation until a maverick cop named Sardaar Gabbar Singh came along.,4.8
168,Gitanjali,1989,"Drama, Romance            ","    On a fog swept chilly hill station, a terminally ill young man (Prakash) meets a boisterous girl (gitanjali). Love blossoms, but there's a shadow behind the light she radiates.",8.2
169,Ninnu Kori,2017,"Comedy, Romance            ","    Two lovers, Pallavi and Uma get separated by circumstances, but reconnect years later, when Pallavi is happily married to someone else.",7.6
170,Indra,2002,"Action, Drama            ","    Since 1965 bitter hatred and animosity has reigned between two families, namely that of Indrasen's and the Reddys, which results in the death of Indrasen's dad, and his two uncles, one of ...                See full summary »",7.4
171,Vishwaroopam 2,2018,"Action, Thriller            ","    A continuation of Vishwaroopam (2013), it showcases Wisam's relationship with his wife and team as he struggles to counter an impending terror attack planned by his archenemy, Omar.",5.9
172,Oru Adaar Love,2019,"Comedy, Romance            ","    The movie depicts the life and times of a group of schoolmates who are best buddies. As they journey through the most memorable times of their lives, lasting friendships are forged and extraordinary tales of romance blossom.",5.5
173,Tholi Prema,2018,Romance            ,    A love story that weathers time and emotions. Aditya sees Varsha and it is love at first sight for him. What transpires over the next 7 years is what makes their love stronger.,7.3
174,Brochevarevarura,2019,Comedy            ,"    This is the story of 'R3 batch' consisting of Rocky, Rambo and Rahul, three friends who keep failing every year and are stuck with studying inter.",8
175,7/G Rainbow Colony,2004,"Drama, Romance            ",    A neighborhood good-for-nothing attempts to romance the new girl in town.,7.8
