,title,year,genres,description,rating
176,Tagore,2003,"Action, Drama            ","    Ravindranath Tagore, a physics professor, forms the ACF [Anti Corruption Force] along with his former students to take on corruption in society.",7.8
177,Gang Leader,2019,"Action, Comedy            ","    Nani plays the gang leader of five women belonging to different age groups, helping them to plot revenge.",7.6
178,Bujjigaadu: Made in Chennai,2008,"Action, Drama            ","    Bujji (Prabhas) runs away from his home in his childhood because of a dispute with his girlfriend Chitti (Trisha). He ends up in Chennai for 12 years, and the rest of the story is about how they meet now to make their love successful.",6.4
179,Sye,2004,"Action, Drama, Sport            ",    Students of a college form a Rugby team and play against a violent gang of thugs to get back their college land.,7.4
180,Yevade Subramanyam,2015,"Adventure, Comedy, Drama            ",    A man who is overly focused on long-term career goals is exposed to the opposite attitude in a friend who believes in living life to the fullest rather than sacrificing present joy for future success.,7.6
181,Mathu Vadalara,2019,"Comedy, Crime, Thriller            ","    Simha is a courier delivery boy who gets peanuts as salary despite putting in a lot of hard work. As Babu gets frustrated with his job, his friend and roommate Satya shows him how to get '...                See full summary »",8.3
182,Katamarayudu,2017,"Action, Comedy            ",    A man with a violent streak is trying to reform but gets pushed into a situation where he has to take action.,5.7
183,Maari 2,2018,"Action, Comedy            ","    Gangster Maari squares off against Beeja, a hardened criminal who considers himself to be the God of death.",5.6
184,Gautamiputra Satakarni,2017,"Action, History            ",    This movie chronicles the life of a South Indian ruler of the Satavahana Empire in South India in the 2nd century CE.,6.5
185,Rx 100,2018,"Action, Drama, Romance            ","    Believing his girlfriend loves him even after being married, a man waits for her return and in the process ignites violence.",6.9
186,A... Aa,2016,"Comedy, Romance            ",    Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship.,6.8
187,Aalavandhan,2001,"Action, Thriller            ","    A psychopath tries to protect his twin brother from a lady he visualizes as his evil stepmother, and eventually ends up fighting with him.",7.1
188,F2: Fun and Frustration,2019,Comedy            ,"    After Venky, Varun also gets married thinking he can keep the wife in control but both of them get frustrated with the marital life which generates fun.",6.2
189,The House Next Door,2017,Horror            ,"    A young married couple begin to encounter several paranormal attacks, when a family moves into a neighbouring house, that is being haunted by a vengeful spirit, which leads them to perform an exorcism in order to help save the neighbours.",6.8
190,Krishna Gaadi Veera Prema Gaadha,2016,"Action, Comedy, Romance            ","    Krishna (Nani) is a coward who is in love with Mahalakshmi (Mehreen Pirzada) and they have kept it a secret. Mahalakshmi is sister of Ramaraju, who in turn is a henchmen of Rajayya. At the ...                See full summary »",7.5
191,Prince,2010,"Action, Sci-Fi, Thriller            ",    A thief is caught in a race against time after he wakes up with no memory and has to find an antique coin which might be the root cause.,4.2
192,Sankarabharanam,1980,"Drama, Musical, Romance            ","    The story of a rare and exceptional bond between the master of classical music Sankara Sastry and his admirer Tulasi, a woman from a family of prostitutes.",8.7
193,Thoongaavanam,2015,"Action, Thriller            ","    A cop with a connection to the criminal underworld finds his secret life exposed when he and his partner are caught stealing cocaine from a powerful drug dealer, a move that puts his son's life in jeopardy.",7
194,Govindudu Andari Vaadele,2014,"Action, Drama            ",    A man returns to India to find his family on the brink of a rift. He must push past his tendency to take everything lightly and work to heal his clan.,5.6
195,Anand,2004,"Comedy, Drama, Musical            ","    A rich guy falls in love with an independent and strong-minded girl, and moves into her simple neighborhood to earn her love.",7.8
196,Raja Kumarudu,1999,"Comedy, Drama, Romance            ","    After the passing away of his parents, Raja lives with his uncle Dhananjay. Dhananjay manages a hotel while Raja is a model. Raja meets Rani and both fall in love. Meanwhile, Dhananjay ...                See full summary »",6.7
197,Baba,2002,"Action, Drama, Fantasy            ","    Baba (Rajini) an atheist, by a twist of fate, acquires magical powers from a divine source and takes on crooked politicians.",5.1
198,Dhammu,2012,"Action, Drama            ",    An orphan gets adopted by a rich and powerful family looking for a heir. But the family has a dark violent past due to dispute with a rival family. What will he do when the fate of his village depends on him?,5.2
199,Ramayya Vastavayya,2013,"Action, Drama            ",    Nandu a happy go lucky boy falls in love with Akarsha (Samantha) only to avenge his fiance's death.,5.1
200,NTR: Kathanayakudu,2019,"Biography, Drama            ","    Based on the journey of the legendary Telugu actor, filmmaker and ex-Chief Minister Late Taraka Rama Rao Nandamuri.",5.7
201,Chirutha,2007,Action            ,"    The consequences that follow after the love between hero and heroine, when they accidentally fall in love on an island.",5.3
202,Thaandavam,2012,"Action, Thriller            ",    A blind man with his 'Echolocation' power takes on a revenge mission.,6.1
203,Athidhi,2007,Action            ,    Athidi(Mahesh Babu) is falsely convicted for killing his adopted parents and goes to jail for 13 years and when he comes back he loves Amrita (Amrita Rao) unaware that she is the daughter of his adopted parents.,5.5
204,Kshana Kshanam,1991,"Comedy, Crime, Drama            ",    A high-profile bank robbery in the city wreaks havoc in the life of an unsuspecting regular young woman when she's caught in the line of fire between the villains and the police.,8.1
205,Penguin,2020,"Drama, Mystery, Thriller            ",    It is a spine chilling tale of a pregnant mother who sets out on a dangerous mission to unravel the mystery and save her loved ones.,4.6
206,Rudra Veena,1988,"Drama, Musical            ",    A classical singer believes in changing society through his music and will power.,8.5
207,Legend,,"Action, Drama            ","    Jeetendra (Jagapati Babu) is a power hungry and cruel man from Rayalaseema to whom killing comes very easy. In the process, he commits a crime and learns about the most powerful and ...                See full summary »",6.3
208,Annamayya,1997,"Biography, History, Musical            ","    A cinematic version of the life of famous Indian saint-poet, Annamayya.",8
209,Badrinath,2011,Action            ,    A skilled warrior and the protector of Badrinath temple finds his loyalties divided while trying to revive an agnostic's faith in God.,4.3
210,Nenu Local,2017,"Action, Comedy, Romance            ","    A happy-go-lucky man accidentally falls in love with a woman whose father despises him. To further complicate matters, his lover has another suitor, who is deemed more worthy of her.",6.4
211,Oh Baby...,2019,"Comedy, Drama, Fantasy            ","    A seventy-year-old woman, Savitri aka 'Baby' gets a second chance to relive her youth when gets transported into the body of a 20-year-old girl and embarks on an exuberant journey of rediscovering herself.",7.4
212,Sketch,,Action            ,    A car hijacker from a local gang gets into a problem after stealing a car.,5.7
213,Hello Guru Prema Kosame,2018,"Comedy, Romance            ","    After a rocky start, a friendship develops between a happy-go-lucky youth and a girl from the city.",7.1
